"","name","address","city","url"
"59","Salvation Army Booth House","114 East 5th","Alton, IL 62002","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14113"
"60","Oasis Women's Shelter","111 Market St","Alton, IL 62002","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15284"
"36","Elgin Wayside Center","215 E. New York Street","Aurora, IL 60505","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8213"
"38","Hesed House","659 River St","Aurora, IL 60506","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10384"
"97","Salvation Army Safe Harbor Shelter","208 N. Oak Street","Bloomington, IL  6170","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15340"
"95","Home Sweet Home Mission","303 East Oakland Avenue","Bloomington, IL 61701","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7592"
"96","Safe Harbor Homeless Services","611 W. Washington","Bloomington, IL 61701","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15232"
"113","Cairo Women's Shelter","PO Box 911","Cairo, IL 62914","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15944"
"42","Kingdom Residential Housing","12610 S. Honore St.  #1","Calumet Park, IL 60827","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15762"
"114","Fulton","1330 E. Ash St.","Canton, IL 61520","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15946"
"79","Good Samaritan House of Carbondale","701 S. Marion","Carbondale, IL 62901","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10071"
"120","Austin's Place","504 E. Church Street","Champaign, IL","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15940"
"118","C","70 East Washington","Champaign, IL 61820","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7750"
"119","Champaign IL Centralized Intake","see list below","Champaign, IL 61820","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15941"
"121","Salvation Army Stepping Stone Program and Daytime Warming Center","2212 N. Market St","Champaign, IL 61822","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15942"
"50","South Suburban PADS SOUTH TIER","414 W. Lincoln Highway","Chicago Heights, IL 60411","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9645"
"51","Respond Now","1439 Emerald Avenue","Chicago Heights, IL 60412","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7918"
"35","Darkim Responsible Living for Women Inc Nfp","332 S Michigan Ave, Suite 1032","Chicago, IL 60604","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15015"
"32","Pacific Garden Mission","1458 S Canal St","Chicago, IL 60605","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7858"
"20","A Safe Haven Foundation","2750 West Roosevelt Road","Chicago, IL 60608","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9623"
"34","You Can Make It","5052 S. laflin","Chicago, IL 60609","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11672"
"16","Deborah's Place","2822 West Jackson Blvd.","Chicago, IL 60612","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7381"
"19","Franciscan Outreach","2715 W Harrison","Chicago, IL 60612","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10274"
"27","Broadway Youth Center","4009 N Broadway","Chicago, IL 60613","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15250"
"31","Lincoln Park Community Services","600 W Fullerton Pkwy","Chicago, IL 60614","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9697"
"48","Believe shelter (Institution for women and kids)","9519 South Commercial Ave","Chicago, IL 60617","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15236"
"39","Ujima Village Youth/Young Adult Shelter","7320 S. Yale-South Wing of the Building","Chicago, IL 60621","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=20380"
"40","Maria Shelter","7320 S. Yale Avenue","Chicago, IL 60621","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=20311"
"23","The Night Ministry","1110 N. Noble Street","Chicago, IL 60622","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=12577"
"8","Primo Center For Women And Children","4241 West Washington Boulevard","Chicago, IL 60624","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10538"
"10","The Boulevard","3465 W. Franklin Boulevard","Chicago, IL 60624","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7652"
"43","Roseland Christian Ministries Grow Program","10858 S. Michigan Ave","Chicago, IL 60628","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14730"
"44","A Little Bit of Heaven Homeless Mens Overnight Shelter","11321 South Wentworth Ave","Chicago, IL 60628","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=12181"
"45","HRDI Women's Supportive Housing","33 E. 114th Street","Chicago, IL 60628","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13431"
"21","North Side Housing and Supportive Services","4410 N. Ravenswood,  suite 101","Chicago, IL 60640","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14427"
"24","Cornerstone Community Outreach","4628 N Clifton Ave","Chicago, IL 60640","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9627"
"26","Sarah's Circle","4838 N Sheridan Rd","Chicago, IL 60640","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14642"
"49","St. Martin de Porres House of Hope","6423 South Woodlawn Avenue","Chicago, IL 60644","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8073"
"18","The Ark","6450 N Califormia Avenue","Chicago, IL 60645","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8119"
"9","La Casa Norte","3533 W. North Avenue","Chicago, IL 60647","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14910"
"7","Loving Hands of Jesus Shelter","915 N. Menard Ave","Chicago, IL 60651","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15800"
"11","The Salvation Army Shield of Hope Chicago","924 N Christiana Ave","Chicago, IL 60651","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=20319"
"12","The Salvation Army Freedom Center","825 N Christiana Ave","Chicago, IL 60651","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=20320"
"13","La Posada Family Shelter","1343 N California Ave","Chicago, IL 60651","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=12408"
"126","Danville Rescue Mission","834 N. Bowman Ave.","Danville , IL 61832","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15040"
"125","Danville Rescue Mission","834 N. Bowman Avenue","Danville, IL 61834","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7377"
"131","Virtue House","2225 S. Franklin Street","Decatur, IL 02521","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11858"
"128","God's Shelter of Love","929 North Union Street","Decatur, IL 62522","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11856"
"129","Oasis Day Center","243 W Cerro Gordo St","Decatur, IL 62522","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11854"
"130","Salvation Army Decatur","229 W. Main Street","Decatur, IL 62522","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11859"
"127","The Water Street Mission Resurrected Homeless Shelter","758 N. Water Street","Decatur, IL 62523","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11860"
"71","Holy Angels Shelter","P.O. Box 3310","East St Louis, IL 62204","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=12993"
"75","Catholic Urban Programs Holy Angels Shelter","1410 North 37 St","East St Louis, IL 62204","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7257"
"76","The Family Living Center","510 N. 25th Street","East St Louis, IL 62205","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9525"
"14","Wayside Cross Ministries Day Shelter","453 Fremont St","Elgin, IL 60120","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15686"
"15","Community Crisis Center Domestic Violence Shelter","P.O. Box 1390","Elgin, IL 60121","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15026"
"22","PADS of Elgin","1730 Berkley Street","Elgin, IL 60123","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15540"
"111","Heart House","300 Reagan Drive","Eureka, IL 61530","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13233"
"25","Mary Lou's Place","1215 Church St","Evanston, IL 60201","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14935"
"28","Family Promise Chicago North Shore","not provided.","Evanston, IL 60201","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=12182"
"29","Connections for the Homeless","1458 Chicago Ave.","Evanston, IL 60201","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7354"
"30","Hilda's Place Transitional Shelter","1458 Chicago Avenue","Evanston, IL 60201","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7581"
"139","Chicago Ave Mission","514 S. Chicago Ave.","Freeport, IL 61032","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7481"
"117","Galesburg Rescue Mission and Women's Shelter Home","435 E. Third Street","Galesburg, IL 61402","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7492"
"62","The Good Samaritan House of Granite City","1825 Delmar Blvd.","Granite City, IL 62040","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14112"
"110","Christian Community Compassion Center 4C's","632 N. Jackson Street","Harrisburg, IL 62946","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15947"
"99","New Directions Heating and Cooling Center","100 S Fayette St","Jacksonville , IL 62650","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14137"
"53","Catholic Charities Daybreak Center","611 East Cass Street","Joliet, IL 60432","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=12303"
"54","New Day Drop","364 E. Washington St","Joliet, IL 60433","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15943"
"55","MorningStar Mission Ministries Inc.","350 East Washington Street","Joliet, IL 60433","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7780"
"46","Groundwork","1550 Plainfield Road","Joliet, IL 60436","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9504"
"112","Gift Of God Street Church Homeless Shelter","660 N. 5th Ave.","Kankakee, IL 60901","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=20361"
"5","BEDS Plus","9601 E Ogden Ave","La Grange, IL 60558","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13385"
"41","Lake County Haven","P.O. Box 127","Libertyville, IL 60048","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15949"
"153","Samaritan Well","1306 Maple Ave # T","Macomb, IL 61455","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14805"
"81","Marion Ministerial Alliance","103 E Calvert","Marion, IL 62959","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7738"
"94","The Haven","1812 Western Ave","Mattoon, IL 61938","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15790"
"3","Housing Forward","1851 S 9th St","Maywood, IL 60513","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14739"
"47","McHenry County PADS","1805 S. Illinois Route 31","McHenry, IL 60050","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15055"
"148","Safe Haven of Mount Carmel","217 W. 3rd Street","Mount Carmel, IL 62863","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13779"
"109","Lifeboat Alliance","1717 Jefferson St","Mt. Vernon, IL 62864","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15227"
"161","Stopping Woman Abuse Now SWAN","P. O. Box 176","Olney, IL 62450","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9713"
"158","Ottawa PADS","1120 Canal Street","Ottawa, IL 61350","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9954"
"6","JOURNEYS","1140 E. Northwest Highway","Palatine, IL 60074","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14729"
"4","The Harbour","1440 Renaissance Drive Suite 240","Park Ridge, IL 60068","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10248"
"115","Salvation Army Rust Transitional Center","235 Derby Street","Pekin, IL 61554","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14354"
"123","Dream Center Peoria","714 Hamilton Blvd","Peoria, IL 61603","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15741"
"116","South Side Mission Shelter for Women and Children","1127 S Laramie St","Peoria, IL 61605","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13624"
"124","Peoria Rescue Mission","601 S. W. Adams","Peoria, IL 61652","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7870"
"157","Peru Pads","1320 Menards Dr.","Peru, IL 61354","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9953"
"162","Salvation Army Shelter Quincy","501 Broadway St","Quincy, IL 62301","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13792"
"133","Christian Family Care Center","2209 3rd ave","Rock Island, IL 61201","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7288"
"104","Rockford Rescue Mission","715 West State Street","Rockford, IL 61102","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14585"
"105","American Red Cross Rock River Chapter","809 Cedar St.","Rockford, IL 61102","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7119"
"103","Shelter Care Ministries","412 N. Church Street","Rockford, IL 61103","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8028"
"101","Carpenter's Place","1149 Railroad Avenue","Rockford, IL 61104","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=12859"
"102","MELD at Trinity House Shelter","620 Kishwaukee Street","Rockford, IL 61104","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8162"
"17","Lazarus House","214 Walnut St.","Saint Charles, IL 60174","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15402"
"52","NorthStar Homes","not provided","Sauk Village, IL 60411","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15927"
"151","Contact Ministries Emergency Shelter","1100 East Adams","Springfield, IL 62703","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10128"
"132","Twin Cities PADS","111 East 29th Street","Sterling, IL 61081","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10503"
"83","Love Inc Lake County","339 Lakewood Avenue","Waukegan, IL  6008","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15951"
"84","Pads Lake County","1800 Grand Avenue","Waukegan, IL  6008","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15950"
"86","COOL MINISTRIES","800 West Glen Flora Avenue","Waukegan, IL  6008","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15952"
"88","Marys' Mission","642 S. Martin Luther King Jr. Ave.","Waukegan, IL 60085","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=12362"
"1","Family Shelter Service","605 E Roosevelt Rd","Wheaton, IL 60187","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15945"
"2","Dupage PADS Overnight Housing Assistance Program","705 West Liberty","Wheaton, IL 60187","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11405"
"37","Crisis Center for South Suburbia","6602 W 111th St","Worth, IL 60477","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13202"
"33","BEDS Plus, Worth IL","11005 S 76th Ave","Worth, IL 60482","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15857"
"98","Kendall County PADS","1204 Deer St","Yorkville, IL 60560","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10418"
"82","A Safe Place","2710 17th Street","Zion, IL 60099","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15948"
